datetime,price,tickersymbol,futurecontractcode
2024-01-02 09:32:13.207570,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:32:13.207570,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:32:41.067596,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:32:41.067596,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:32:41.067596,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:32:45.220767,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:32:45.220767,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:32:45.220767,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:03.679873,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:03.679873,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:03.679873,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:06.727122,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:06.727122,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:06.727122,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:11.089591,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:11.089591,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:11.089591,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:15.125712,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:15.125712,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:15.125712,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:19.201558,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:19.201558,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:19.201558,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:21.403430,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:21.403430,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:21.403430,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:23.243597,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:23.243597,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:23.243597,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:25.496126,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:25.496126,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:25.496126,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:29.571827,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:29.571827,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:29.571827,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:33.636304,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:33.636304,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:33.636304,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:35.665520,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:35.665520,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:35.665520,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:49.104591,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:49.104591,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:49.104591,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:50.939199,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:50.939199,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:50.939199,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:33:55.214623,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:33:55.214623,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:33:55.214623,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:34:05.693287,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
